년,월,평균풍속(m/s),최대풍속(m/s),지역
 1998,03,1.8,9.5,충청남도
 1998,04,1.6,9.6,충청남도
 1998,05,1.5,8.7,충청남도
 1998,06,1.6,9.0,충청남도
 1998,07,2.2,8.6,충청남도
 1998,08,1.8,8.8,충청남도
 1998,09,1.5,8.0,충청남도
 1999,03,2.0,10.9,충청남도
 1999,04,2.0,12.3,충청남도
 1999,05,1.9,10.1,충청남도
 1999,06,1.5,7.7,충청남도
 1999,07,2.0,11.0,충청남도
 1999,08,1.6,16.5,충청남도
 1999,09,1.6,10.3,충청남도
 2000,03,2.0,12.2,충청남도
 2000,04,2.4,12.2,충청남도
 2000,05,2.1,10.8,충청남도
 2000,06,1.5,9.4,충청남도
 2000,07,1.9,10.4,충청남도
 2000,08,1.7,14.8,충청남도
 2000,09,1.8,13.0,충청남도
 2001,03,2.4,9.9,충청남도
 2001,04,1.9,7.9,충청남도
 2001,05,2.0,8.1,충청남도
 2001,06,1.7,9.0,충청남도
 2001,07,1.9,9.5,충청남도
 2001,08,1.4,6.7,충청남도
 2001,09,1.7,7.5,충청남도
 2002,03,2.2,9.9,충청남도
 2002,04,2.3,10.3,충청남도
 2002,05,1.7,7.5,충청남도
 2002,06,1.4,7.2,충청남도
 2002,07,1.6,7.4,충청남도
 2002,08,1.9,12.2,충청남도
 2002,09,1.4,8.8,충청남도
 2003,03,1.7,9.3,충청남도
 2003,04,1.9,8.0,충청남도
 2003,05,1.6,7.4,충청남도
 2003,06,1.5,7.1,충청남도
 2003,07,1.6,7.5,충청남도
 2003,08,1.6,8.2,충청남도
 2003,09,1.4,7.9,충청남도
 2004,03,2.1,9.2,충청남도
 2004,04,1.9,8.5,충청남도
 2004,05,2.0,8.6,충청남도
 2004,06,1.4,7.1,충청남도
 2004,07,2.0,8.7,충청남도
 2004,08,1.5,7.2,충청남도
 2004,09,1.5,7.5,충청남도
 2005,03,2.3,9.1,충청남도
 2005,04,2.3,9.5,충청남도
 2005,05,1.7,8.4,충청남도
 2005,06,1.8,8.8,충청남도
 2005,07,1.6,7.1,충청남도
 2005,08,1.8,8.0,충청남도
 2005,09,1.8,8.4,충청남도
 2006,03,2.3,9.8,충청남도
 2006,04,2.5,11.6,충청남도
 2006,05,1.9,7.8,충청남도
 2006,06,1.8,9.0,충청남도
 2006,07,1.9,10.2,충청남도
 2006,08,1.5,7.3,충청남도
 2006,09,1.5,6.0,충청남도
 2007,03,2.2,12.1,충청남도
 2007,04,2.1,10.1,충청남도
 2007,05,2.3,9.2,충청남도
 2007,06,1.8,8.6,충청남도
 2007,07,1.8,7.5,충청남도
 2007,08,2.0,8.7,충청남도
 2007,09,1.9,8.5,충청남도
 2008,03,1.9,7.6,충청남도
 2008,04,2.1,9.5,충청남도
 2008,05,2.1,8.0,충청남도
 2008,06,1.9,9.3,충청남도
 2008,07,1.8,8.6,충청남도
 2008,08,1.8,8.2,충청남도
 2008,09,1.3,6.4,충청남도
 2009,03,2.3,8.7,충청남도
 2009,04,1.9,8.3,충청남도
 2009,05,2.0,7.8,충청남도
 2009,06,2.0,8.0,충청남도
 2009,07,2.0,10.8,충청남도
 2009,08,1.7,7.3,충청남도
 2009,09,1.3,6.3,충청남도
 2010,03,2.4,10.6,충청남도
 2010,04,2.2,8.9,충청남도
 2010,05,2.1,8.3,충청남도
 2010,06,1.5,6.1,충청남도
 2010,07,2.0,7.5,충청남도
 2010,08,1.7,8.1,충청남도
 2010,09,1.7,14.7,충청남도
 2011,03,2.4,9.3,충청남도
 2011,04,2.4,10.5,충청남도
 2011,05,2.3,9.3,충청남도
 2011,06,2.3,9.4,충청남도
 2011,07,2.1,7.8,충청남도
 2011,08,1.9,10.8,충청남도
 2011,09,1.7,7.0,충청남도
 2012,03,2.3,8.9,충청남도
 2012,04,2.5,11.2,충청남도
 2012,05,1.7,7.1,충청남도
 2012,06,1.7,8.2,충청남도
 2012,07,1.7,9.3,충청남도
 2012,08,2.1,14.0,충청남도
 2012,09,1.4,8.1,충청남도
 2013,03,2.1,9.0,충청남도
 2013,04,2.4,9.8,충청남도
 2013,05,1.8,7.3,충청남도
 2013,06,1.4,5.9,충청남도
 2013,07,2.5,8.4,충청남도
 2013,08,1.7,8.2,충청남도
 2013,09,1.3,6.4,충청남도
 2014,03,1.9,8.7,충청남도
 2014,04,1.7,7.2,충청남도
 2014,05,2.1,8.5,충청남도
 2014,06,1.6,6.0,충청남도
 2014,07,1.7,9.6,충청남도
 2014,08,1.6,6.8,충청남도
 2014,09,1.2,6.2,충청남도
 2015,03,1.9,8.5,충청남도
 2015,04,1.9,10.1,충청남도
 2015,05,1.8,9.0,충청남도
 2015,06,1.6,7.0,충청남도
 2015,07,1.8,8.0,충청남도
 2015,08,1.5,6.9,충청남도
 2015,09,1.3,5.1,충청남도
 2016,03,1.8,7.9,충청남도
 2016,04,1.8,11.1,충청남도
 2016,05,1.8,9.1,충청남도
 2016,06,1.5,6.3,충청남도
 2016,07,1.6,7.9,충청남도
 2016,08,1.3,7.7,충청남도
 2016,09,1.2,6.5,충청남도
 2017,03,1.5,7.5,충청남도
 2017,04,2.0,9.8,충청남도
 2017,05,1.7,8.3,충청남도
 2017,06,1.5,6.1,충청남도
 2017,07,1.6,7.2,충청남도
 2017,08,1.4,7.0,충청남도
 2017,09,1.3,6.0,충청남도
 2018,03,1.8,8.0,충청남도
 2018,04,2.0,9.0,충청남도
 2018,05,1.8,7.9,충청남도
 2018,06,1.5,7.1,충청남도
 2018,07,1.5,5.5,충청남도
 2018,08,1.6,7.0,충청남도
 2018,09,1.4,6.2,충청남도
 2019,03,1.8,8.7,충청남도
 2019,04,1.6,7.0,충청남도
 2019,05,1.7,7.0,충청남도
 2019,06,1.2,5.5,충청남도
 2019,07,1.7,6.4,충청남도
 2019,08,1.3,6.9,충청남도
 2019,09,1.4,11.5,충청남도
 2020,03,1.7,8.6,충청남도
 2020,04,2.0,8.8,충청남도
 2020,05,1.6,7.6,충청남도
 2020,06,1.4,6.1,충청남도
 2020,07,1.3,7.0,충청남도
 2020,08,1.7,9.0,충청남도
 2020,09,1.5,8.8,충청남도
 2021,03,1.5,7.3,충청남도
 2021,04,1.7,9.3,충청남도
 2021,05,1.6,7.5,충청남도
 2021,06,1.4,6.2,충청남도
 2021,07,1.3,6.8,충청남도
 2021,08,1.3,7.4,충청남도
 2021,09,1.5,6.4,충청남도
 2022,03,1.5,8.4,충청남도
 2022,04,1.6,7.3,충청남도
 2022,05,1.7,6.4,충청남도
 2022,06,2.0,7.5,충청남도
 2022,07,1.3,6.5,충청남도
 2022,08,1.6,6.7,충청남도
 2022,09,1.4,7.1,충청남도
 1980,03,2.0,8.5,충청북도
 1980,04,2.2,11.5,충청북도
 1980,05,1.9,11.6,충청북도
 1980,06,1.7,8.6,충청북도
 1980,07,1.3,7.3,충청북도
 1980,08,1.3,5.9,충청북도
 1980,09,1.2,6.7,충청북도
 1981,03,2.2,10.0,충청북도
 1981,04,2.1,9.4,충청북도
 1981,05,2.1,9.8,충청북도
 1981,06,1.4,7.2,충청북도
 1981,07,1.4,7.8,충청북도
 1981,08,1.2,6.4,충청북도
 1981,09,1.3,7.2,충청북도
 1982,03,1.8,8.3,충청북도
 1982,04,1.8,8.6,충청북도
 1982,05,1.7,10.9,충청북도
 1982,06,1.4,7.2,충청북도
 1982,07,1.2,7.4,충청북도
 1982,08,1.5,7.9,충청북도
 1982,09,1.3,6.7,충청북도
 1983,03,1.6,8.0,충청북도
 1983,04,1.9,13.8,충청북도
 1983,05,1.6,8.9,충청북도
 1983,06,1.5,7.3,충청북도
 1983,07,1.4,7.7,충청북도
 1983,08,1.4,7.0,충청북도
 1983,09,1.3,7.2,충청북도
 1984,03,1.9,9.4,충청북도
 1984,04,1.6,9.0,충청북도
 1984,05,1.3,7.8,충청북도
 1984,06,1.4,7.2,충청북도
 1984,07,1.1,6.5,충청북도
 1984,08,1.2,6.9,충청북도
 1984,09,1.1,6.1,충청북도
 1985,03,1.6,8.6,충청북도
 1985,04,1.7,9.1,충청북도
 1985,05,1.3,6.5,충청북도
 1985,06,1.1,6.1,충청북도
 1985,07,1.1,6.0,충청북도
 1985,08,1.2,7.7,충청북도
 1985,09,1.2,5.7,충청북도
 1986,03,1.7,7.2,충청북도
 1986,04,2.0,9.4,충청북도
 1986,05,1.7,8.2,충청북도
 1986,06,1.5,6.1,충청북도
 1986,07,1.3,5.6,충청북도
 1986,08,1.5,10.2,충청북도
 1986,09,1.2,6.0,충청북도
 1987,03,2.0,9.0,충청북도
 1987,04,1.8,10.5,충청북도
 1987,05,1.6,8.0,충청북도
 1987,06,1.4,6.4,충청북도
 1987,07,1.4,10.0,충청북도
 1987,08,1.2,8.7,충청북도
 1987,09,1.3,7.3,충청북도
 1988,03,2.0,9.2,충청북도
 1988,04,2.1,10.5,충청북도
 1988,05,1.6,8.3,충청북도
 1988,06,1.6,6.7,충청북도
 1988,07,1.6,7.3,충청북도
 1988,08,1.3,7.0,충청북도
 1988,09,1.2,6.3,충청북도
 1989,03,2.0,9.2,충청북도
 1989,04,1.7,8.6,충청북도
 1989,05,1.9,8.6,충청북도
 1989,06,1.6,8.1,충청북도
 1989,07,1.3,8.2,충청북도
 1989,08,1.6,9.1,충청북도
 1989,09,1.4,8.3,충청북도
 1990,03,2.0,8.5,충청북도
 1990,04,2.2,10.8,충청북도
 1990,05,1.9,11.2,충청북도
 1990,06,1.5,7.7,충청북도
 1990,07,1.3,7.1,충청북도
 1990,08,1.3,8.2,충청북도
 1990,09,1.4,7.8,충청북도
 1991,03,1.9,8.4,충청북도
 1991,04,1.8,10.0,충청북도
 1991,05,2.0,10.3,충청북도
 1991,06,1.5,7.5,충청북도
 1991,07,1.4,7.8,충청북도
 1991,08,1.5,8.1,충청북도
 1991,09,1.2,6.5,충청북도
 1992,03,1.6,6.6,충청북도
 1992,04,2.0,9.0,충청북도
 1992,05,1.9,8.3,충청북도
 1992,06,1.6,7.6,충청북도
 1992,07,1.5,8.1,충청북도
 1992,08,1.4,6.5,충청북도
 1992,09,1.3,6.8,충청북도
 1993,03,1.7,8.5,충청북도
 1993,04,2.5,10.6,충청북도
 1993,05,1.6,7.9,충청북도
 1993,06,1.5,8.9,충청북도
 1993,07,1.4,7.2,충청북도
 1993,08,1.3,9.1,충청북도
 1993,09,1.1,6.4,충청북도
 1994,03,2.5,9.5,충청북도
 1994,04,2.1,10.3,충청북도
 1994,05,1.9,9.1,충청북도
 1994,06,1.5,7.3,충청북도
 1994,07,1.4,8.3,충청북도
 1994,08,1.5,9.1,충청북도
 1994,09,1.4,6.6,충청북도
 1995,03,2.1,9.0,충청북도
 1995,04,2.2,10.0,충청북도
 1995,05,1.9,9.8,충청북도
 1995,06,1.6,6.4,충청북도
 1995,07,1.4,7.6,충청북도
 1995,08,1.3,8.3,충청북도
 1995,09,1.3,6.8,충청북도
 1996,03,2.7,9.5,충청북도
 1996,04,3.2,10.2,충청북도
 1996,05,2.5,10.2,충청북도
 1996,06,2.0,10.7,충청북도
 1996,07,1.6,7.7,충청북도
 1996,08,1.4,7.0,충청북도
 1996,09,1.2,5.7,충청북도
 1997,03,2.1,9.3,충청북도
 1997,04,2.1,9.7,충청북도
 1997,05,2.0,8.8,충청북도
 1997,06,1.3,7.3,충청북도
 1997,07,1.3,7.5,충청북도
 1997,08,1.5,7.8,충청북도
 1997,09,1.5,7.4,충청북도
 1998,03,2.2,9.3,충청북도
 1998,04,1.6,7.5,충청북도
 1998,05,1.5,7.6,충청북도
 1998,06,1.5,6.7,충청북도
 1998,07,1.8,7.7,충청북도
 1998,08,1.2,6.8,충청북도
 1998,09,1.1,8.5,충청북도
 1999,03,1.7,10.4,충청북도
 1999,04,1.9,10.6,충청북도
 1999,05,1.9,9.9,충청북도
 1999,06,1.5,7.1,충청북도
 1999,07,1.7,10.0,충청북도
 1999,08,1.4,13.9,충청북도
 1999,09,1.4,9.1,충청북도
 2000,03,2.5,12.6,충청북도
 2000,04,2.3,12.4,충청북도
 2000,05,2.0,9.9,충청북도
 2000,06,1.6,8.2,충청북도
 2000,07,1.6,11.1,충청북도
 2000,08,1.5,10.1,충청북도
 2000,09,1.7,10.4,충청북도
 2001,03,2.5,9.9,충청북도
 2001,04,2.0,8.9,충청북도
 2001,05,1.7,8.5,충청북도
 2001,06,1.2,7.1,충청북도
 2001,07,1.1,6.3,충청북도
 2001,08,1.2,6.5,충청북도
 2001,09,1.4,7.1,충청북도
 2002,03,2.6,10.5,충청북도
 2002,04,2.7,11.0,충청북도
 2002,05,2.2,8.6,충청북도
 2002,06,1.9,7.1,충청북도
 2002,07,1.7,7.1,충청북도
 2002,08,1.6,9.6,충청북도
 2002,09,1.4,6.8,충청북도
 2003,03,1.7,9.3,충청북도
 2003,04,1.9,7.5,충청북도
 2003,05,1.6,7.8,충청북도
 2003,06,1.5,6.4,충청북도
 2003,07,1.5,6.4,충청북도
 2003,08,1.2,7.8,충청북도
 2003,09,1.3,10.8,충청북도
 2004,03,1.9,8.4,충청북도
 2004,04,2.1,7.9,충청북도
 2004,05,1.8,7.9,충청북도
 2004,06,1.5,8.8,충청북도
 2004,07,1.4,7.7,충청북도
 2004,08,1.5,7.3,충청북도
 2004,09,1.5,8.9,충청북도
 2005,03,2.5,9.3,충청북도
 2005,04,2.3,9.3,충청북도
 2005,05,1.9,7.7,충청북도
 2005,06,1.5,8.0,충청북도
 2005,07,1.4,7.0,충청북도
 2005,08,1.4,7.4,충청북도
 2005,09,1.5,8.2,충청북도
 2006,03,2.3,8.5,충청북도
 2006,04,2.4,8.8,충청북도
 2006,05,1.8,7.7,충청북도
 2006,06,1.5,7.0,충청북도
 2006,07,1.4,8.0,충청북도
 2006,08,1.2,6.4,충청북도
 2006,09,1.3,6.6,충청북도
 2007,03,2.1,9.7,충청북도
 2007,04,2.0,7.6,충청북도
 2007,05,1.9,8.1,충청북도
 2007,06,1.5,6.7,충청북도
 2007,07,1.5,7.2,충청북도
 2007,08,1.4,6.8,충청북도
 2007,09,1.5,6.4,충청북도
 2008,03,1.9,7.3,충청북도
 2008,04,2.1,7.5,충청북도
 2008,05,1.9,7.6,충청북도
 2008,06,1.8,7.0,충청북도
 2008,07,1.4,6.0,충청북도
 2008,08,1.6,6.7,충청북도
 2008,09,1.2,6.1,충청북도
 2009,03,2.3,8.1,충청북도
 2009,04,2.1,8.7,충청북도
 2009,05,1.8,6.9,충청북도
 2009,06,1.6,6.8,충청북도
 2009,07,1.6,6.8,충청북도
 2009,08,1.6,5.5,충청북도
 2009,09,1.3,5.9,충청북도
 2010,03,2.3,8.7,충청북도
 2010,04,2.3,9.1,충청북도
 2010,05,1.9,6.8,충청북도
 2010,06,1.5,6.2,충청북도
 2010,07,1.4,6.2,충청북도
 2010,08,1.4,7.0,충청북도
 2010,09,1.4,7.1,충청북도
 2011,03,2.4,8.2,충청북도
 2011,04,2.1,7.6,충청북도
 2011,05,2.0,8.5,충청북도
 2011,06,1.7,7.0,충청북도
 2011,07,1.5,6.6,충청북도
 2011,08,1.5,7.4,충청북도
 2011,09,1.4,6.6,충청북도
 2012,03,2.4,8.5,충청북도
 2012,04,2.4,9.9,충청북도
 2012,05,1.7,6.7,충청북도
 2012,06,1.8,6.5,충청북도
 2012,07,1.6,8.0,충청북도
 2012,08,1.8,9.7,충청북도
 2012,09,1.4,8.9,충청북도
 2013,03,2.0,8.1,충청북도
 2013,04,2.3,9.0,충청북도
 2013,05,1.8,6.9,충청북도
 2013,06,1.5,5.6,충청북도
 2013,07,1.5,6.6,충청북도
 2013,08,1.3,7.3,충청북도
 2013,09,1.2,6.4,충청북도
 2014,03,1.9,7.3,충청북도
 2014,04,1.9,7.6,충청북도
 2014,05,2.1,7.3,충청북도
 2014,06,1.7,7.0,충청북도
 2014,07,1.6,7.5,충청북도
 2014,08,1.6,7.1,충청북도
 2014,09,1.3,5.4,충청북도
 2015,03,2.0,8.4,충청북도
 2015,04,2.0,8.0,충청북도
 2015,05,1.9,8.8,충청북도
 2015,06,1.7,6.4,충청북도
 2015,07,1.7,6.8,충청북도
 2015,08,1.4,7.2,충청북도
 2015,09,1.4,5.9,충청북도
 2016,03,1.7,6.8,충청북도
 2016,04,2.0,8.6,충청북도
 2016,05,1.9,9.5,충청북도
 2016,06,1.6,6.1,충청북도
 2016,07,1.5,6.0,충청북도
 2016,08,1.6,6.6,충청북도
 2016,09,1.3,5.5,충청북도
 2017,03,1.9,7.7,충청북도
 2017,04,2.1,7.8,충청북도
 2017,05,2.0,8.5,충청북도
 2017,06,1.9,6.4,충청북도
 2017,07,1.3,7.2,충청북도
 2017,08,1.6,6.6,충청북도
 2017,09,1.4,6.6,충청북도
 2018,03,2.0,9.0,충청북도
 2018,04,2.2,8.3,충청북도
 2018,05,1.9,8.4,충청북도
 2018,06,1.8,5.8,충청북도
 2018,07,1.6,6.2,충청북도
 2018,08,1.7,7.0,충청북도
 2018,09,1.6,6.2,충청북도
 2019,03,1.9,8.1,충청북도
 2019,04,1.8,7.6,충청북도
 2019,05,2.0,7.3,충청북도
 2019,06,1.4,6.5,충청북도
 2019,07,1.6,6.8,충청북도
 2019,08,1.5,6.2,충청북도
 2019,09,1.4,9.7,충청북도
 2020,03,1.9,8.9,충청북도
 2020,04,2.3,9.1,충청북도
 2020,05,1.8,7.4,충청북도
 2020,06,1.5,6.8,충청북도
 2020,07,1.5,7.1,충청북도
 2020,08,1.2,6.5,충청북도
 2020,09,1.5,9.1,충청북도
 2021,03,1.7,7.1,충청북도
 2021,04,2.0,8.7,충청북도
 2021,05,1.6,8.4,충청북도
 2021,06,1.4,6.5,충청북도
 2021,07,1.3,7.0,충청북도
 2021,08,1.3,6.4,충청북도
 2021,09,1.5,6.1,충청북도
 2022,03,1.6,8.2,충청북도
 2022,04,1.6,6.5,충청북도
 2022,05,1.7,6.6,충청북도
 2022,06,1.6,6.4,충청북도
 2022,07,1.4,5.5,충청북도
 2022,08,1.3,6.2,충청북도
 2022,09,1.5,7.9,충청북도
